label,t,r,points,kTeams,scoringDiscAbs,minScoringDiscAbs,discSource,isSolvable,baselineUnlocked,baselineDiscAbs
24T54,54,4,0.0,63,708801874985091845381344307009569161216,104925247476051528260125720576,exact_nfdisc,True,True,41854041915994688377922999984608049400643584
24T55,55,24,0.0,25,353145419285438413851380244183148134400000000,76478016234371857711745057510579666809,exact_nfdisc,True,True,858789642250828250976797006255615874584018944
24T56,56,8,0.0,54,5106705043047168064000000000000000000,156938077449417789520626992646455296,exact_nfdisc,True,,
24T56,56,24,0.0,26,53885714612646242347927893704704000000000000,86217143380233987756684629927526400000000,exact_nfdisc,True,True,858789642250828250976797006255615874584018944
24T57,57,8,0.0,28,9606056659007943744000000000000000000,37523658824249780250000000000000000,exact_nfdisc,True,,
24T64,64,24,1.5e-05,17,41854041915994688377922999984608049400643584,41854041915994688377922999984608049400643584,exact_nfdisc,True,True,4930444097109731066566402164622830338719088640000000000000000
24T65,65,24,0.0,36,1605118521243221418475584000000000000000000,3868692462960640000000000000000000000,exact_nfdisc,True,True,8345261032023157253752158683136000000000000000000
24T67,67,24,0.0,23,43368962130211273125679959716963961752518656,66746146916296718924258041208437211136,exact_nfdisc,True,True,41884173814952878922692774138292794715261457262474320471392256
24T68,68,0,0.0,51,154747698518425600000000000000000000,79496847203390844133441536,exact_nfdisc,True,True,277188366757463669630706310170279936
24T68,68,24,0.0,42,5572807543115524928875261464576000000000000,1688955266848568738486955066939320303616,exact_nfdisc,True,True,22117487974911683097120084072582917960878638483111936
24T69,69,0,0.030597,6,125454832345482387440912939939109485529792512,15024717917887397119351172592068113373069312,exact_nfdisc,True,True,8569176473397483180594233957192714284217732727570432
24T69,69,24,3e-05,16,125454832345482387440912939939109485529792512,4675812811727862239592792166208660195684177,exact_nfdisc,True,True,8569176473397483180594233957192714284217732727570432
24T73,73,24,0.0,37,5362298595498029493708858064896000000000000,10314424798490535546171949056000000000000,exact_nfdisc,True,True,289565965140450745190035451157265150731081732099988511588864569718603776
24T76,76,0,0.0,42,18706678892191630777896881103515625,27223503022813413597559914496,exact_nfdisc,True,True,20354862744967638072674186804862518296576
24T76,76,24,0.0,36,313845992416939702953024000000000000000000,196533882010732518963346808872177238016,exact_nfdisc,True,True,28652370768528203029188117144613484931592218476544
24T77,77,24,0.0,31,1766247894065951161425641872654041606961,7234860598099474676410883705338331136,exact_nfdisc,True,True,654440215858638733167074595910824917425960269726161257365504
24T85,85,16,6.1e-05,15,329123002999201416128761938882499016916992,329123002999201416128761938882499016916992,exact_nfdisc,True,,
24T87,87,0,0.007812,8,2615877619749668023620187499038003087540224,2615877619749668023620187499038003087540224,exact_nfdisc,True,True,457836316842389919004706771611999134509616063760564224
24T87,87,8,0.014762,7,41854041915994688377922999984608049400643584,163492351234354251476261718689875192971264,exact_nfdisc,True,,
24T87,87,16,0.001845,10,41854041915994688377922999984608049400643584,163492351234354251476261718689875192971264,exact_nfdisc,True,,
24T87,87,24,0.001953,10,2615877619749668023620187499038003087540224,2615877619749668023620187499038003087540224,exact_nfdisc,True,True,457836316842389919004706771611999134509616063760564224
24T89,89,16,0.006977,8,53263562110268871214562382314335667001119203131392,257155211623417053722116528002094568436780897,exact_nfdisc,True,,
24T91,91,0,0.0,34,39282685952619110671639434510729216,1910476667902020601723510456202449,exact_nfdisc,True,,
24T91,91,12,4e-06,19,5106705043047168064000000000000000000,539233654306273704923862457275390625,exact_nfdisc,True,True,642818365232815265876488161879880892416
24T92,92,0,0.0,39,5596702221627051568929759490565184000000,2713912434782030043100224000000,exact_nfdisc,True,True,10314424798490535546171949056000000000000000000
24T94,94,12,8.4e-05,14,727159868611086804644378486198913434910720000000000000000,2253650060263939441322402000000000000000,exact_nfdisc,True,,
24T95,95,0,0.0,34,463234065632797532805221092163584000000,41329862121590784000000000000,exact_nfdisc,True,True,10218271952147140717266357418117199560704000000
24T95,95,12,0.0,23,441774430878446133427830784000000000000,19656589362206251908501504000000000000,exact_nfdisc,True,,
24T95,95,24,0.000451,12,782630352541450910581541331533824000000000000,322053560110387231268888641536000000000000,exact_nfdisc,True,True,91266492611592041585754124015416360566784000000
24T96,96,0,0.000188,13,191574801573996325098421621882880000000000000000,2973040419154470746540634731559518208,exact_nfdisc,True,True,10681934120989641284802763114414080000000000000000
24T96,96,12,7e-06,18,6589070516764512828311079736011910407989716058112,18575503285919976562671296824016000000000000,exact_nfdisc,True,,
24T98,98,0,3e-06,19,90024045616996359108291290388741798566118558007296,2200509764430937713689420250000000000000000,exact_nfdisc,True,,
24T98,98,12,1e-06,21,98086298405886118450391870404034560000000000000000,2459150504706033598464000000000000000000,exact_nfdisc,True,True,5469150269946696337819014714580008960000000000000000
24T99,99,0,4e-06,19,102585571836954884181281250000000000000000,3794985346768570368000000000000000000000,exact_nfdisc,True,True,226816599995229390522030178243062131589120000000000000000
24T99,99,12,3e-06,19,181736598229047631575074792531250000000000000000,971516248772754014208000000000000000000000,exact_nfdisc,True,True,226816599995229390522030178243062131589120000000000000000
24T99,99,24,0.000122,14,25109940777650110824553361531250000000000000000,25109940777650110824553361531250000000000000000,exact_nfdisc,True,True,38449828975107358432553613198381547520000000000000000000000
24T100,100,0,1e-06,20,113094254304882210157524680704000000000000,925042732446329207783424000000,exact_nfdisc,True,True,653969404937417005905046874759500771885056000000
24T100,100,12,6.1e-05,15,5287094430615384550826573824000000000000,2535180350322001155159836778206010015744,exact_nfdisc,True,,
24T100,100,24,0.007284,8,9366410296595421270246875950219264000000000000,7275708913551661478456164223167758336000000,exact_nfdisc,True,True,162251542420608073930229553805184641007616000000
24T103,103,0,0.001187,10,40693422824070163195590611960388215366675496960000000000000000,27615553135280112750250000000000000000,exact_nfdisc,True,,
24T111,111,0,0.001365,10,392345193623544473801567481616138240000000000000000,228816138678590495589962280332230656,exact_nfdisc,True,True,1367287567486674084454753678645002240000000000000000
24T111,111,12,0.000799,11,282554847454195873637575125150157805142617823903744,183915874118019569927438582416000000000000,exact_nfdisc,True,,
24T112,112,0,0.0,40,2666341764662723913145569509376,65595912253423284423491584,exact_nfdisc,True,True,1557425994840289699324242862081572864
24T113,113,12,0.0,30,4470722472201467738309612030463122422542694500535380954225279442758926336,117703851313261968059315983642578125,exact_nfdisc,True,,
24T116,116,0,0.0,34,2424913874779324631779422706436407296,268028796600409154276818944,exact_nfdisc,True,True,5040368888782875344934003960956936257536
24T116,116,12,0.0,33,37001249309987253292532695105536,20611427847064782801208873058304,exact_nfdisc,True,,
24T116,116,24,1e-06,21,2424913874779324631779422706436407296,2424913874779324631779422706436407296,exact_nfdisc,True,True,41854041915994688377922999984608049400643584000000
24T117,117,12,6e-06,18,430112550014495993257635597264000000000000,40621487921685401825918161408203125,exact_nfdisc,True,,
24T117,117,24,1e-06,20,114083612280290547319067949777551360000000000000000,29613064694908657931094339666580078125,exact_nfdisc,True,True,1628504155133097043212549001671783090489823333776883712
24T118,118,12,0.000244,13,583541511286422645645130672451572727808,583541511286422645645130672451572727808,exact_nfdisc,True,,
24T118,118,24,0.0,26,583541511286422645645130672451572727808,583541511286422645645130672451572727808,exact_nfdisc,True,True,3560644706996547094934254371471360000000000000000000000
24T119,119,12,8.1e-05,14,107897322250657903640494996222065518837760000000000000000,18029200482111515530579216000000000000,exact_nfdisc,True,,
24T123,123,0,3e-05,16,2003809955918727361975035438301603495936,98366020188241343938560000000000000000,exact_nfdisc,True,,
24T124,124,8,0.0,22,10072680467275913619308544000000000000000000,90094304837023722380250000000000000000,exact_nfdisc,True,,
24T124,124,16,2.8e-05,16,90094304837023722380250000000000000000,37523658824249780250000000000000000,exact_nfdisc,True,True,485758124386377007104000000000000000000
24T124,124,24,0.0,27,10072680467275913619308544000000000000000000,3134013508660165896260250000000000000000,exact_nfdisc,True,True,4616232655329660742625658671886534166183936000000000000
24T126,126,0,0.0,44,2735003706238649431533510428874244096,11057218266092628965572214784,exact_nfdisc,True,True,32875727886013331710187245912266212496113664
24T126,126,8,0.0,35,22175681318707829883070101896298496,86623755151202460480742585532416,exact_nfdisc,True,,
24T126,126,24,0.0,32,36651298890200466487004316421768624472064,8662375515120246048074258553241600000000,exact_nfdisc,True,True,31537876395515866411315917957151850496000000000000
24T129,129,0,9.9e-05,14,516716566864131955282999999809975918526464,8415861157732807840000000000000000,exact_nfdisc,True,,
